Wavelength,AbsorptionCoeff
1084.05,4.801970883
1084.71,4.766265641
1085.37,4.752045389
1086.03,4.755415567
1086.69,4.760196406
1087.35,4.762057926
1088.01,4.771839164
1088.68,4.796603728
1089.34,4.804513239
1090,4.801925534
1090.66,4.78011165
1091.32,4.787722226
1091.98,4.783397211
1092.64,4.78118008
1093.3,4.785477215
1093.96,4.78850199
1094.62,4.822288257
1095.28,4.843531696
1095.94,4.876005019
1096.6,4.884625651
1097.26,4.88760294
1097.92,4.909274111
